TARGET_TYPE	TYPE_META_VER
aggregate_service	1.0
apm_ba_service	3.0
asm_diskgroup_component	13.31
asm_diskgroup_component	13.40048
asm_diskgroup_component	2.9
asm_diskgroup_component	3.0
asm_diskgroup_component	3.1
asm_diskgroup_component	3.2
asm_diskgroup_component	3.3
asm_diskgroup_component	3.5
asm_diskgroup_component	4.01
asm_diskgroup_component	4.02
asm_diskgroup_component	4.03
asm_diskgroup_component	4.030734
bea_alsb	12.14
bea_alsb	12.15
bea_alsb	12.16
bea_alsb	13.10
casm_diskgroup_component	1.1
casm_diskgroup_component	1.2
casm_diskgroup_component	1.3
casm_diskgroup_component	1.4
casm_diskgroup_component	1.5
casm_diskgroup_component	13.01
casm_diskgroup_component	13.21
casm_diskgroup_component	13.22
casm_diskgroup_component	13.31
casm_diskgroup_component	13.32
casm_diskgroup_component	13.40048
cloud_resource_provider	1.0
cloud_service	1.0
cluster	1.0
cluster	13.31
cluster	13.40
cluster	13.40013
cluster	13.40048
cluster	13.40130
cluster	6.1
cluster	7.0
cluster	7.1
cluster	7.2
cluster	7.3
cluster	7.5
cluster	7.7
cluster	7.9
cluster	7.900722
cluster	7.900737
composite	1.0
composite_application_system	12.1
composite_application_system	12.2
composite_application_system	13.1
coreid_access_sys	1.1
coreid_identity_sys	1.1
exa_rack	1.1
exa_rack	12.16
exa_rack	13.3
exalogic_control	12.14
exalogic_control	12.16
exalogic_control	13.1
exalogic_control	13.2
exalogic_system	1.0
exalogic_system	1.4
exalogic_system	12.15
exalogic_system	12.16
exalogic_system	13.1
exalogic_system	13.2
exalytics_machine	12.14
exalytics_system	12.14
formsapp	1.0
gds_cloud	1.0
gds_cloud	1.1
gds_cloud	1.2
gds_cloud	1.3
gds_cloud	13.22
gds_cloud	13.31
gds_gsm	1.0
gds_gsm	1.1
gds_gsm	1.2
gds_gsm	13.22
gds_gsm	13.22814
gds_gsm	13.31
gds_gsm	13.32
gds_gsm	13.41
gds_gsm	13.41028
gds_pool	1.0
gds_pool	1.1
gds_pool	13.22
gds_pool	13.31
gds_shard_director	1.0
gds_shard_director	13.22814
gds_shard_director	13.31
gds_shard_director	13.32
gds_shard_director	13.41
gds_shard_director	13.41028
gds_sharded_database	1.0
gds_sharded_database	13.31
gds_sharded_database	13.41039
